event_name,event_shortname,event_thumb,event_slug
CAMELOT,CAMELOT,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_CAMELOT.png?v=848rffjv3we,camelot_22
CARNIBALL,CARNIBALL,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_CARNIBALL.png?v=848rffjv3we,carniball_22
EOE,EOE,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_EOE.png?v=848rffjv3we,eoe_22
GSC,GSC,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_GSC_S6.png?v=848rffjv3we,gsc_22
HEARTBREAKERS,HEARTBREAKERS,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_HEARTBREAKERS.png?v=848rffjv3we,heartbreakers_22
HEROES,HEROES,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_HEROES.png?v=848rffjv3we,heroes_22
ICONS,ICONS,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_ICONS.png?v=848rffjv3we,icons_22
KICKOFF,KICKOFF,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_KICKOFF.png?v=848rffjv3we,kickoff_22
LANTERN,LANTERN,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_LANTERN.png?v=848rffjv3we,lantern_22
NAL,NAL,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_NAL.png?v=848rffjv3we,nal_22
NEON NIGHTS,NEON NIGHTS,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_NEON_NIGHTS.png?v=848rffjv3we,neonnights_22
NEWBEGINNINGS,NEWBEGINNINGS,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_NEWBEGINNINGS.png?v=848rffjv3we,newbeginnings_22
PVET4,PVET4,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_PVET4.png?v=848rffjv3we,pvet4_22
SCREAM TEAM,SCREAM TEAM,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_SCREAM_TEAM.png?v=848rffjv3we,screamteam_22
SPRING,SPRING,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_SPRING.png?v=848rffjv3we,spring_22
SVE,SVE,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_SVE.png?v=848rffjv3we,sve_22
TOP TRANSFERS,TOP TRANSFERS,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_TOP_TRANSFERS.png?v=848rffjv3we,toptransfers_22
TOTS,TOTS,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_TOTS.png?v=848rffjv3we,tots_22
TOTW,TOTW,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_TOTW.png?v=848rffjv3we,totw_22
TOTY22,TOTY22,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_TOTY22.png?v=848rffjv3we,toty22_22
TROPICAL,TROPICAL,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_TROPICAL.png?v=848rffjv3we,tropical_22
UCL,UCL,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_UCL.png?v=848rffjv3we,ucl_22
UECL,UECL,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_GSC_UECL.png?v=848rffjv3we,uecl_22
UEL,UEL,https://cdn-p2.frzdb.net/fifamobile/images/programFilters_22/programlogos_S6_UEL.png?v=848rffjv3we,uel_22
